ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"314064",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Strmica,Knin
"314021",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Radučić,Knin
"314013",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Radljevac,Knin
"314005",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Polača,Knin
"313998",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Plavno,Knin
"313980",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Pađane,Knin
"313971",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Oton,Knin
"313955",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Očestovo,Knin
"313947",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Nunić,Knin
"313939",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Mokro Polje,Knin
"313882",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Kninsko Polje,Knin
"313874",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Knin,Knin
"313866",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Kistanje,Knin
"313858",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Kijevo,Knin
"313840",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Ivoševci,Knin
"313831",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Gornji Ervenik,Knin
"313823",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Golubić,Knin
"313815",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Ðevrske,Knin
"313807",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Donji Ervenik,Knin
"313777",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Biskupija,Knin
"311367",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Zrmanja,Gračac
"311359",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Vrelo,Gračac
"311251",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Prljevo,Gračac
"311243",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Pribudić,Gračac
"305758",Drniš,Šibensko-kninska županija,Šibenik,Šumarija Drniš,Split,Matase,Drniš
"305081",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Drenovac Lički,Gračac
"319163",Obrovac,Zadarska županija,Zadar,Šumarija Obrovac,Split,Žegar,Obrovac
"319074",Obrovac,Zadarska županija,Zadar,Šumarija Obrovac,Split,Krupa,Obrovac
"319058",Obrovac,Zadarska županija,Zadar,Šumarija Obrovac,Split,Golubić,Obrovac
"313912",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Modrino Selo,Knin
"313904",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Kolašac,Knin
"313769",Knin,Šibensko-kninska županija,Šibenik,Šumarija Knin,Split,Biovičino Selo,Knin
"311324",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Velika Popina,Gračac
"311316",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Tomingaj,Gračac
"311227",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Palanka,Gračac
"311219",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Omsica,Gračac
"311162",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Kom,Gračac
"311146",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Kijani,Gračac
"311138",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Gračac,Gračac
"311120",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Grab,Gračac
"311111",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Glogovo,Gračac
"311103",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Duboki Dol,Gračac
"311090",Graèac,Zadarska županija,Zadar,Šumarija Gračac,Gospić,Deringaj,Gračac
