USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena
Buzet;Buje;Oprtalj;81f;Momjan;1133/3;0.05;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1133/5;0.05;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1136;0.02;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1138/1;0.09;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1138/5;0.1;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1139/1;0.01;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1140;0.25;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1141/1;0.43;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1141/2;0.11;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1143/1;0.16;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1611/2;0.36;5;1;
Buzet;Buje;Oprtalj;81f;Momjan;1616/1;1.02;5;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1499/1;0.31;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1516;0.05;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1518;0.25;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1519/1;0.24;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1521/1;0.11;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1540/1;0.33;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1553/1;0.04;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1554/2;0.2;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1555;0.23;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1601;0.23;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1609;0.01;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1612;0.06;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1616/2;0.48;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1626;0.03;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1629;0.13;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1630;0.01;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1633;0.11;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1634;0.15;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1640;0.52;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1642;0.16;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1677/1;0.71;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1677/3;0.42;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1677/4;0.06;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1677/5;0.27;6;1;
Buzet;Buje;Oprtalj;92I;Grožnjan;1724;8.07;6;1;
Buzet;Pazin;Kras;30b;Gradinje;1734/122,1734/123,1734/131,1734/132;0.35;6;1;
Buzet;Pazin;Kras;30c;Gradinje;988/56, 988/57, 988/59, 988/73, 988/127, 1643/4, 1645/5, 1655/2, 1658/1, 1658/2, 1658/3, 1659/1, 1659/4, 1693/1, 1693/3, 1693/4, 1693/8, 1694/4, 1694/8, 1694/9, 1694/10, 1694/16, 1694/17, 1713/1, 1713/3, 1715/1, 17191, 1734/93, 1734/95, 1734/96, 1734/103, 1734/110, 1734/118, 1734/119, 1734/120, 1734/121, 1734/126, 1734/127, 1734/129;25.31;6;1;
Buzet;Pazin;Kras;30e;Gradinje;1734/76, 1734/77, 1734/90, 1734/111, 1734/112, 1740/1, 1740/2, 1740/3, 1740/10, 1740, 1740/11, 1760, 1761/1, 1761/2, 1766/2, 4330/1;2.07;6;1;
Buzet;Pazin;Kras;30f;Gradinje;1734/17, 1734/18, 1734/19, 1734/20, 1734/21, 1734/22, 1734/23, 1734/24, 1734/25, 1734/26, 1734/117, 1746/1, 1746/2;;6;1;
Buzet;Pazin;Kras;30g;Gradinje;4317/6, 4337/2, 4337, 4365/2, 4367, 4389/11, 4389/13;1.93;6;1;
